model,label,total_entities,linked_entities,linkability_rate
GLiNER,Archival Metadata,1,1,1.0
GLiNER,Citation,757,473,0.6248348745046235
GLiNER,Creative Work,2712,1771,0.653023598820059
GLiNER,Dataset,138,95,0.6884057971014492
GLiNER,Event,3657,2739,0.748974569319114
GLiNER,Organization,14790,9139,0.6179175118323191
GLiNER,Person,34831,23078,0.6625706985156901
GLiNER,Place,26076,10889,0.41758705322902284
GLiNER,Point of Interest,2670,1900,0.7116104868913857
GLiNER,Project,654,521,0.7966360856269113
GLiNER,Publication title,4302,3569,0.8296141329614133
GLiNER,Semantic Web vocabulary,16,16,1.0
GLiNER,Software,128,94,0.734375
GLiNER,Time,14503,5911,0.4075708474108805
LLM average,Archival Metadata,1236,605,0.4838393242642261
LLM average,Citation,1629,1075,0.6261968740572333
LLM average,Creative Work,3019,1951,0.6423913696917107
LLM average,Dataset,617,274,0.43753145835788076
LLM average,Event,1388,955,0.6703228197881885
LLM average,Organization,10375,5681,0.5401438584889681
LLM average,Person,27697,17234,0.6140680698684263
LLM average,Place,16972,6355,0.3666733301024408
LLM average,Point of Interest,685,474,0.6774580441882481
LLM average,Project,1273,697,0.5142651176363219
LLM average,Publication title,10539,7030,0.6521951178927081
LLM average,Semantic Web vocabulary,594,310,0.5089735555999665
LLM average,Software,188,94,0.5056550437062424
LLM average,Time,13041,3935,0.29603629092765527
